full_text;Labeling
haii sorry baru balesaku dapet beasiswa kipk kaa hhidi kampusku baru ada pengumumannyaa;Neutral
upnjog info beasiswa buat maba selain kipk dong gais sender ga kuat liat ortu harus bayar ukt kalo misal ada grup khusus info beasiswa juga boleh minta tolong share ya makasih;Neutral
akupun bayar kuliah terseok dan aku pun dulu jd calon kipk tp ga aku terima karena menurutku aku masi bisa kok bayar kuliahku yg masuk gol rendah itu dengan cara aku cari beasiswa di luar tapi kalian tau gak si idup keperluan banyak;Pros
beasiswa dari pemerintah macam kipk nih dikasih atas dasar kesetaraan biar si miskin enggak minder lihat orang mampu melakukan iniitu  dalam kasus ini soal pendidikan   dan penerima beasiswa mesti punya tanggung jawab buat dimanfaatin secara maksimal;Cons
halo ka mau nanya binus ada beasiswa kipk nya gaa;Pros
trs jg w tkut nnti ga dapet kipkbeasiswa klo w jd kuliah ksjqksjskksjs;Neutral
pemerintah ngasi kipk atau beasiswa gitu ga meh nahan ijazah ato apa gitu kah atau w yang ga ngerti klo kipk emang ada nahan ijazah gtu;Neutral
cari beasiswa yang lebih dr kipkbanyakkk kmrn ada beasiswa unggulbpi;Pros
informasi penerima bantuan biaya pendidikan melalui program kipk kepada nama terlampir  bantuan ini ditujukan untuk mahasiswa yang tidak mampu dan mempunyai nilai akademik tinggi;Pros
so tru besti sorry aku team setuju beasiswa bisa untuk semua kalangan tp kalo kipk or anything yang memang jelas butuh sktm ya ga pantes;Pros
kalo konteksnya kipk gak tepat kalo punya uang tapi malah dipake buat kebutuhan tersier kamu mengambil uang yg bukan hakmu  karena kipk itu yujuan dibuatnya adalah untuk membantu orang yg kurang mampu  kalau kamu pakai beasiswa prestasiswasta baru deh argumenmu valid;Pros
back to topic kipk saran gw gini  kalau iphone doang mah biarin aja  kalau penerima beasiswa tsb udah berani gelar acara sweet  langsung aja laporin acara sweet  msk dlm acara yg disebut bu  sbg kegiatan orang kaya;Pros
beasiswa semacam bidikmisi atau kipk membantu mereka untuk tidak cemas soal biaya kuliah sehingga mereka bisa lebih memikirkan peningkatan taraf hidup;Pros
aku stuju sm komennya apakah anak kipk harus terlihat lusuh buluk dan tida pantas hidup dikit disaltyin gemes deh padahal mereka lolos beasiswa itu jg berarti layak kan dan univ pasti nyeleksinya sesuai persyaratan;Pros
ptn disaat waktu itu mati an belajar buat utbk amp  berusaha buat dapet kampus impian dan berharap bisa dapet bantuan kipk alhamdulilahnya dapet kampus impian tapi gk lolos seleksi kipk  ekonomi keluarga yg gak baik aja nyoba daftar beasiswa lain tapi blm ada satupun  cont;Neutral
nder  uang kipk ga cukup ngecover biaya hidup selama  semester apalagi kalo kuliah di jurusan yg banyak kulap  harga iphone udah anjlok parah apalagi untuk series lama andro lebih mahal  km mau beasiswa juga po coba cek ig adkesgram_ugm di sana banyak info beasiswa;Cons
lah nder emang part time dikira gajinya sebanyak beasiswa kip k apa mereka ngajuin kipk karena mereka butuh bantuan buat kuliah sama kehidupan kuliah mereka tambahan part time juga buat tambahan hidup mereka emang salah punya hp bagus buat menunjang perkuliahan;Pros
wkwkwkkwkw kipk itu beasiswa kuliah kan buat beli keperluan kuliah kan bukan buat beli iphone kan;Pros
kalo anak kipk bisa liburan keluarga padahal dari pulau seberang trus kost eksklusif harga  juta ke atas masih pantes gak dpt itu beasiswa itu;Cons
penjaringan aspirasi calon penerimapelamar kipk angkatan   hai gadjah mada muda   selama melakukan pendaftaran beasiswa kipk di ugm tentunya terdapat suatu hal yang mengganjal atau kesalahankesalahan sistem informasi dsb oleh karena itu;Neutral
daftar kipk gak lolos daftar ini itu gak lolos emng bener ya allah hanya engkau yg bisa bantu hamba panitia beasiswa jangan terlalu di percaya;Neutral
ness masmbak yang ikut magang merdeka dan menerima beasiswa kipkunggulan aku mau nanya dong apa bener ga dapet bbh sama sekali gaji;Neutral
cm kakakkakak yang ikut magang merdeka dan menerima beasiswa kipkunggulan aku mau nanya dong apa bener ga dapet bbh sama sekali atau dalam artian ga digaji;Neutral
kampus gue yg skrg  senioritas berkedok etika  anak kipk dibebanin ngangkat nama baik kampus bahkan di wajibkan ikut lomba yg sama sekali gaada dukungan dana kalo gaikut diancem beasiswa dicabut  anggota bem berkedok seringnya gerombolan ngebully deting bahkan doxxing;Cons
sender makasih atas kebaikannya aku semigap dan seperti aku tdk lolos kipk dan dgn uang ukt yg cukup besar bagi keluargaku aku ingin pindah dan cari beasiswa lain di taun depan aku pengen pindah di univ yg dket rumah soalnya jadi anak rantau gak enak banget;Neutral
update iisma  februariakhir februari  registration march  selection process april  announcement   awardees  awardees  application schemetrack  afirmasi  beasiswa kipkbidikmisiktp t  reguler  cofunding;Neutral
beasiswa prestasi akademis   beasiswa prestasi non akademis sertifikat prestasi seperti olahraga seni budaya dll minimal tingkat propinsi  yuk buruan daftar  oktober  melalui  dan;Neutral
beasiswa bakti bca  bca melalui beasiswa bakti bca membuka kesempatan bagi temanteman mahasiswa ugm untuk mendapatkan fasilitas dalam pengembangan diri temanteman  ada  jenis  yang mungkin kamu dapatkan  beasiswa bantuan finansial;Neutral
kipk kan jg udah beasiswa kak seingetku kalo udah kedaftar kipk biasanya ga dapet si cmiiw;Pros
aku ngga lolos kipk life is so heavy aku masih harus berjuang cari beasiswa lain i try but want to stop here;Cons
perjuangin nder aku gagal beasiswa kipk soalnya bingung harus gimana;Cons
temanteman rasakan  selama menerima beasiswa kipk ataupun saran   link penjaringan aspirasi dapat diisi oleh seluruh mahasiswa penerima kipk ugm  mari bersama melakukan evaluasi berjalannya kipk ugm selama ini melalui link dibawah;Pros
guys kalian yg kuliahnya beasiswa pakai beasiswa apa kipk atau apa;Pros
